['WAMREJ', 0.58, 3549.4, 2041.6, 0.84, 1.36, 15.94, 10.49, 7.92, 50.34]
['NIBHUC', 0.45, 4257.3, 1913.2, 0.87, 1.84, 18.87, 11.87, 9.98, 50.31]
['DICKEH', 0.52, 4492.5, 2347.2, 0.85, 1.54, 12.84, 7.41, 8.75, 50.3]
['XOVQEF', 0.43, 4601.6, 1985.4, 0.86, 1.91, 13.74, 11.43, 10.39, 50.29]
['ICAQIO', 0.4, 4733.2, 1909.8, 0.88, 2.05, 20.39, 7.96, 11.07, 50.27]
['VAGMAT', 0.36, 5202.7, 1897.6, 0.89, 2.33, 14.92, 13.26, 12.15, 50.27]
['XAFFAN', 0.37, 5181.1, 1892.1, 0.89, 2.33, 14.91, 13.24, 11.86, 50.24]
['EFAYIU', 0.43, 5118.7, 2219.4, 0.84, 1.88, 11.57, 8.64, 10.38, 50.22]
['ICAROV', 0.41, 4646.9, 1889.1, 0.88, 2.03, 20.33, 7.92, 10.82, 50.18]
['CEKHIL', 0.61, 4266.3, 2617.8, 0.82, 1.24, 8.91, 6.79, 7.54, 50.16]
['TOHSAL', 0.58, 4312.1, 2484.6, 0.8, 1.3, 9.79, 6.18, 7.89, 50.14]
['ICAQOU', 0.41, 4545.5, 1878.6, 0.88, 2.0, 20.3, 7.9, 10.8, 50.1]
['OFAWAV', 0.97, 2191.0, 2122.0, 0.81, 0.79, 11.43, 8.9, 4.89, 50.1]
['YONNAR', 0.69, 2975.8, 2057.5, 0.8, 1.11, 11.86, 5.71, 6.72, 50.07]
['IMUTUG', 1.06, 1838.4, 1955.1, 0.78, 0.64, 8.41, 5.99, 4.47, 50.02]
['SICZOV', 0.42, 4151.1, 1743.0, 0.9, 2.01, 18.76, 11.87, 10.55, 50.0]
['OKABAE', 0.65, 3125.7, 2034.4, 0.82, 1.2, 14.07, 9.53, 7.09, 49.93]
['BEXVEH', 0.78, 2838.7, 2222.2, 0.8, 0.93, 9.98, 6.16, 5.97, 49.92]
['EPISOM', 0.68, 3142.6, 2129.5, 0.82, 1.1, 12.64, 6.49, 6.78, 49.87]
['XAFFER', 0.36, 5171.1, 1861.0, 0.89, 2.37, 14.22, 13.29, 12.07, 49.87]
['OKABEI', 0.65, 3109.4, 2030.5, 0.83, 1.19, 13.87, 9.42, 7.08, 49.86]
['XAFFOB', 0.37, 5194.9, 1906.5, 0.89, 2.32, 14.84, 13.17, 11.78, 49.85]
['XAFFIV', 0.36, 5328.7, 1909.8, 0.89, 2.36, 14.23, 13.19, 12.06, 49.8]
['WEHJOK', 0.78, 2748.6, 2139.4, 0.79, 0.95, 11.75, 5.65, 5.95, 49.7]
['MEHMET', 0.41, 4594.4, 1878.2, 0.89, 2.06, 21.83, 9.07, 10.72, 49.68]
['SERCEZ', 0.71, 3076.8, 2178.7, 0.76, 1.05, 10.07, 8.57, 6.49, 49.62]
['YUGZIK', 0.45, 4852.8, 2177.7, 0.84, 1.79, 11.91, 8.94, 9.85, 49.61]
['VAGMEX', 0.35, 5152.0, 1814.6, 0.9, 2.43, 15.28, 14.49, 12.31, 49.58]
['SOHMEI', 1.19, 1364.8, 1629.6, 0.64, 0.57, 8.65, 8.02, 3.97, 49.51]
['MEXJAC', 1.73, 1251.9, 2165.0, 0.64, 0.37, 6.51, 4.66, 2.77, 49.46]
['HABRAF', 0.38, 4849.7, 1854.2, 0.89, 2.21, 24.3, 9.04, 11.42, 49.45]
['XALTIP', 0.55, 3296.3, 1817.0, 0.85, 1.47, 18.68, 9.17, 8.2, 49.45]
['VIRVEY', 1.09, 2199.8, 2392.1, 0.72, 0.66, 7.25, 5.79, 4.32, 49.43]
['KEQDER', 0.54, 4124.1, 2241.0, 0.84, 1.45, 13.61, 6.5, 8.31, 49.41]
